AMY_SY2	AMY_SO1	AMY_SO2	PU_SY1	PU_SY2	PU_SO1	PU_SO2	HIP_SY1	HIP_SY2	HIP_SO1	HIP_SO2	TH_SY1	TH_SY2	TH_SO1	TH_SO2	DLPFC_SY1	DLPFC_SY2	DLPFC_SO1	DLPFC_SO2	CG_SY1	CG_SY2	CG_SO1	CG_SO2	STG_SY1	STG_SY2	STG_SO1	STG_SO2	SPL_SY1	SPL_SY2	SPL_SO1	SPL_SO2	V4_SY1	V4_SY2	V4_SO1	V4_SO2	CBC_SY1	CBC_SY2	CBC_SO1	CBC_SO2
ENSMMUG00000023296	93	95	160	0	0	118	128	0	0	97	109	0	0	0	0	0	0	109	88	0	0	131	331	0	79	184	100	0	0	105	74	0	0	378	151	0	136	193	131
ENSMMUG00000000634	1403	1154	2061	262	484	1374	2342	49	559	1151	1757	247	414	736	656	77	208	1250	1258	898	765	2081	4190	761	1234	2697	1823	397	844	1377	1484	635	1069	4171	1464	65	1388	1545	1541
ENSMMUG00000037875	517	224	527	185	185	434	1439	0	221	402	1261	168	276	522	333	140	0	322	472	373	294	416	895	234	300	525	581	174	319	394	685	554	386	1893	629	0	1052	758	1000
ENSMMUG00000000632	1130	762	1746	243	435	745	1848	0	327	980	2138	246	493	831	609	114	168	1041	1160	825	652	1353	2853	490	888	1895	1889	268	766	1385	1457	927	783	4685	1350	0	1017	1011	1224
ENSMMUG00000005955	554	229	755	0	0	80	265	0	131	249	475	127	225	199	199	0	0	101	144	183	143	219	616	108	144	268	426	0	102	138	208	108	136	388	131	0	192	0	148
ENSMMUG00000005946	389	176	328	0	88	64	182	0	136	183	365	89	163	185	159	0	0	139	130	126	163	159	307	81	155	212	228	0	193	123	130	131	190	289	90	0	366	166	198
ENSMMUG00000052686	304	378	596	0	145	245	188	0	74	272	312	0	104	116	218	0	55	320	328	81	136	347	954	74	207	431	391	0	135	217	260	71	177	865	589	0	181	186	290
ENSMMUG00000019585	180	227	338	0	98	121	241	0	67	194	284	0	0	64	127	0	0	214	261	121	104	340	1077	91	142	334	316	0	90	214	247	109	208	1429	522	0	149	208	275
ENSMMUG00000059322	271	206	569	0	216	165	564	0	108	276	621	117	132	310	168	0	0	202	431	473	209	402	1049	344	308	495	597	168	230	284	441	302	205	723	284	0	227	259	233
ENSMMUG00000004566	431	500	581	79	226	564	845	0	121	400	709	141	308	427	465	0	0	380	333	205	193	571	1301	176	230	645	412	82	164	328	337	187	273	1091	398	0	155	162	207
ENSMMUG00000058214	67	198	196	0	0	175	202	0	0	144	93	0	0	113	135	0	0	110	106	65	0	216	345	0	0	228	133	0	0	112	127	0	0	351	129	0	74	113	119
ENSMMUG00000023311	303	251	607	0	152	242	519	0	101	357	696	95	110	250	205	0	0	262	482	275	132	518	1124	194	222	570	534	113	168	384	446	234	245	904	411	0	394	375	455
ENSMMUG00000050290	188	400	298	0	194	267	147	0	97	330	413	76	126	237	259	0	0	347	362	192	145	414	839	140	199	626	395	72	112	384	362	176	200	1399	493	0	454	604	572
ENSMMUG00000031191	148	273	232	0	148	172	157	0	98	332	340	73	154	237	209	0	0	370	271	139	133	404	720	133	201	504	264	68	120	364	316	211	254	1295	382	0	433	546	553
ENSMMUG00000016408	5763	4078	10416	1437	2755	6858	16017	369	2440	6376	8934	783	1230	2224	2433	551	758	5250	7844	4275	3106	9492	25186	3543	3641	10521	8405	2068	2926	5665	6701	3727	4536	17666	7063	472	5737	6199	6370
ENSMMUG00000022208	2901	1728	4993	684	1010	2285	7430	195	1231	2446	7166	1302	2141	4118	2337	1030	269	1651	2422	2061	1253	2652	7721	1161	1494	2916	3888	782	1212	2045	3515	1362	1238	5147	2554	116	2530	2209	2750
ENSMMUG00000060928	201	186	151	0	0	270	289	0	53	345	400	147	282	1129	168	86	0	108	103	82	0	264	129	66	94	330	146	0	87	283	134	121	76	792	69	0	306	275	87
ENSMMUG00000011380	2168	2049	3564	898	1237	4573	8213	182	1027	2428	3528	708	1025	2395	1434	462	246	2356	2660	1651	1389	3351	8143	1393	1417	4198	3449	938	1358	2785	2983	2188	2008	10436	3640	223	4216	3916	3759
ENSMMUG00000055490	1550	1018	2632	480	686	1514	3250	137	612	1673	2561	650	1034	2056	1156	329	235	1497	1818	1399	878	2150	4751	693	1067	2482	2446	629	986	1927	2588	1488	1300	5724	2031	103	1930	1894	1678
ENSMMUG00000005777	11839	17158	22578	4362	8167	22614	31744	402	4714	17894	14910	3065	3972	6021	7840	1709	1500	14421	11357	5674	3977	17268	46753	6136	7885	23722	13924	2637	4905	13359	13285	6966	10701	57224	21288	557	10114	18809	19342
ENSMMUG00000017324	3976	4307	7206	361	1274	2887	3186	122	2310	5929	4463	548	854	1277	2515	105	439	3435	2448	1399	1382	6380	14149	1330	2655	6418	3885	366	1087	2916	2228	572	1555	7512	3309	329	4179	13839	17197
ENSMMUG00000011424	5091	4799	8457	995	2048	5606	7744	246	3152	6913	6617	977	1550	2673	2354	654	522	4494	3301	2103	1913	6804	14460	2000	2752	7172	3940	1034	1898	4496	3452	2340	3743	14704	5414	236	5406	6997	5904
ENSMMUG00000021098	12049	5380	20750	2999	10233	7723	27790	840	4810	12231	22307	3559	4942	10635	6427	2322	1790	11324	16596	11601	6894	17942	51050	8568	8732	18911	20617	5561	7628	15543	18961	10904	9876	40911	15162	1286	15693	16695	17454
ENSMMUG00000031175	2025	1150	3575	806	870	2153	7998	134	865	1634	4091	600	1142	1710	1672	628	294	1495	2380	1438	1141	2590	7978	949	1238	2648	3105	666	1104	1761	3001	1496	1235	5863	2316	226	4249	2890	3951
ENSMMUG00000062648	63	0	100	0	0	84	175	0	0	0	175	78	87	93	106	0	0	0	0	0	0	0	0	0	0	53	81	0	0	0	74	0	0	106	0	0	110	0	58
ENSMMUG00000022310	1300	779	2205	733	556	2368	7211	90	480	1109	1985	297	494	973	668	365	133	738	1062	939	615	1317	3406	647	646	1417	1541	425	563	1007	1407	847	666	2815	1121	77	1356	1546	1460
ENSMMUG00000000021	1428	2497	3926	292	733	1841	2323	0	487	1821	3368	471	727	1284	1633	178	124	1592	1924	702	466	2048	6331	639	865	3096	2089	318	587	1375	1787	645	676	4567	2533	0	1490	1519	1953
ENSMMUG00000000016	2500	1020	3789	570	1263	1533	4442	215	840	1787	5479	1436	1730	3226	1443	495	267	1795	2711	3125	1656	3016	7593	1829	1451	3173	3753	1349	1381	2706	3461	2669	1816	7103	2303	163	2332	1892	2072
ENSMMUG00000015664	6632	1081	5272	649	1386	561	2458	548	2692	3684	9090	455	785	1355	524	298	541	1528	2457	3734	2380	3096	7323	3183	2726	3950	5689	1334	2174	2997	3848	3479	2567	7909	2308	629	12038	9459	8371
ENSMMUG00000058282	95	0	116	0	0	0	97	0	0	0	145	0	0	0	0	0	0	0	0	88	0	0	146	0	0	0	126	0	0	0	0	0	0	0	0	0	90	0	0
ENSMMUG00000019995	11546	13848	23351	2250	10292	12082	20359	565	5273	16863	15905	2127	3379	6101	7245	821	1806	16323	14072	7308	5950	20769	61140	8188	9301	28672	18350	3735	5808	15386	16065	8605	12750	64972	25953	651	12755	18745	17817
ENSMMUG00000019994	6202	7167	10166	1028	4005	5570	9288	327	2345	6373	8649	1192	1550	2978	3850	510	698	5961	6012	3074	2547	7950	22766	3314	3977	11040	7663	1611	2516	5400	6383	3591	4792	20318	8627	326	6988	6513	8036
ENSMMUG00000019914	15001	8650	23072	2399	7494	9545	19158	681	5586	13317	21774	4085	6862	13479	8465	2276	1550	10523	11889	9266	6503	17080	43210	7545	7573	18006	16065	4239	5707	11606	14141	9767	8874	34653	12512	955	12990	19507	14706
ENSMMUG00000004265	1972	2525	2315	183	1792	1382	1397	0	596	2388	2457	351	402	730	1738	86	411	3112	2479	1706	1080	5545	14788	1368	1734	5223	2933	594	1342	2570	2131	653	1112	5019	2345	656	11074	15182	14858
ENSMMUG00000008763	216	571	425	67	160	536	415	0	103	354	419	0	107	217	353	0	0	347	285	99	69	309	743	58	168	529	355	0	103	288	293	113	130	1023	514	0	271	395	569
ENSMMUG00000005669	1439	668	2415	224	1953	348	1735	171	560	1040	6520	1195	2744	3950	1707	167	587	3389	5775	4674	3308	4896	12397	2648	2227	5357	5938	2028	2647	5913	6336	3974	3965	15852	3277	0	1240	573	595
ENSMMUG00000005667	3246	1017	4486	493	1067	958	4314	360	1249	2116	4542	1578	2027	3207	1473	629	349	1663	2961	3550	1790	2581	8122	1426	1460	2988	4520	1171	2213	2493	4232	2347	1712	6318	2400	226	4041	1734	1912
ENSMMUG00000057010	67	150	156	0	0	140	130	0	0	217	154	0	0	0	89	0	0	68	106	0	0	99	331	0	0	142	163	0	0	0	94	0	0	214	148	271	1776	3108	3060
ENSMMUG00000010729	14743	20832	29973	2784	12704	14878	23298	881	6761	22560	20484	3084	5033	7795	12031	830	2339	25132	21119	10366	8350	30071	80041	7758	10646	39984	21044	4685	8075	24026	22755	14979	19146	117690	43458	1286	30872	35672	35171
ENSMMUG00000064824	1295	664	994	67	783	398	371	133	1237	1221	2359	182	296	955	415	73	331	1934	2484	2799	1357	2523	5325	1444	1152	2899	3106	1297	1483	2130	2409	1601	1107	5342	1397	0	4081	1316	1355
ENSMMUG00000059650	9172	14085	18581	2132	8847	14795	17220	301	3440	13721	10883	1490	2210	3696	7595	454	1225	15418	11555	4822	3766	18504	47781	5753	6719	23899	12452	2485	3710	13191	11478	6189	9010	57053	19932	318	6706	11294	9475
ENSMMUG00000021442	1242	2343	3402	1544	5676	9420	10912	186	1915	4888	5857	1261	2110	2458	3713	327	1036	10561	8500	5659	3545	13344	33177	4247	5183	17042	12127	2586	3777	11197	10398	3766	5912	29996	12574	0	185	229	435
ENSMMUG00000054712	111	340	186	0	0	261	166	0	0	195	174	76	0	141	134	0	0	242	102	80	0	167	272	0	79	315	146	0	0	162	88	134	0	580	226	0	122	223	267
ENSMMUG00000059542	58	97	0	0	0	101	76	0	0	64	62	0	0	0	0	0	0	59	41	0	0	72	135	0	0	102	78	0	0	52	0	0	0	163	101	0	0	92	171
ENSMMUG00000001060	54313	57837	113619	19946	25185	126536	137664	2294	19033	71373	40470	1036	2058	4805	8085	3573	5030	47640	44341	18400	14379	64201	190341	24183	29745	112016	59671	9919	17790	47844	47316	23072	38619	175815	73797	1941	24247	65534	54971
ENSMMUG00000010073	1495	1794	3320	517	788	3131	5923	59	586	2210	2171	226	348	921	858	208	155	1659	2006	919	633	2989	7462	787	943	3664	2483	353	714	1722	1946	751	936	6039	2322	89	1169	1814	1959
ENSMMUG00000020471	1336	1072	3063	2041	911	7443	16494	108	661	1540	2145	117	497	592	678	829	296	1450	2153	1184	810	2387	8478	1005	1372	2958	3584	451	1091	1728	2357	413	606	1858	713	0	703	262	754
ENSMMUG00000015135	1973	1405	3555	390	1143	2448	3481	95	725	2146	2260	434	580	1113	958	201	255	2009	2351	1098	982	3130	7702	937	1346	3838	2585	565	1025	2054	2724	1148	1532	6883	2881	113	1623	2053	1784
ENSMMUG00000015132	2312	1015	2688	486	1185	1182	3983	213	841	1459	3879	1040	1277	2769	1341	520	328	1548	2429	2333	1506	1984	4824	1472	1311	2391	2904	1318	1745	2260	3420	2377	1836	6348	2432	105	2008	1265	1471
ENSMMUG00000021238	677	853	1567	167	263	887	2122	0	226	913	1481	113	242	394	687	103	79	542	780	278	209	723	2528	242	483	1030	1046	117	253	467	809	178	362	1455	1183	0	412	775	895
ENSMMUG00000044139	2276	2241	5882	702	2108	3413	6852	141	1336	3513	3539	379	889	1679	1541	366	338	2816	3337	1835	1337	4675	13361	1436	1897	5033	3755	745	1255	2660	3272	1225	1650	8144	3254	127	2396	2915	2668
ENSMMUG00000014263	731	955	1212	273	281	1464	2204	0	412	1154	1864	239	473	1016	622	268	70	811	570	353	252	966	1785	269	398	1043	719	160	312	702	684	566	530	3601	1127	0	618	590	530
ENSMMUG00000012716	576	1089	773	72	379	592	752	0	300	1423	1223	149	135	366	436	0	0	1440	1019	271	209	1725	2544	299	339	2321	1130	140	208	1526	1118	288	321	5384	1734	0	841	1957	808
ENSMMUG00000012729	5260	5039	11083	954	5073	5783	8105	237	2066	6014	6048	713	1485	2185	3330	400	1021	7889	7152	3752	3166	11750	30684	3765	4922	15110	9071	1869	3399	8057	8163	3418	6022	25467	9988	297	4476	7834	6419
ENSMMUG00000053807	680	1421	772	91	412	493	1108	0	339	837	1568	824	498	1322	1681	76	112	1065	813	682	408	1498	2686	540	519	1478	983	318	376	1015	846	637	579	2599	993	0	277	327	534
ENSMMUG00000008427	1671	2327	3726	467	1502	2928	3803	83	813	2523	2194	374	677	1097	2159	134	227	2861	2585	1151	891	3675	10684	889	1251	4539	2709	501	838	2437	2648	1164	1850	10195	3923	102	1519	3118	2968
ENSMMUG00000008426	3588	3452	5999	1005	2210	5051	7892	234	1792	4357	4701	779	1300	2223	2594	357	434	3621	4001	2110	1729	5256	13083	2028	2489	5907	4731	964	1701	3409	4611	2240	2416	12036	5235	299	4634	6329	6929
ENSMMUG00000007145	2266	1866	3108	749	1150	2386	4798	246	1132	2080	5069	1199	1733	2760	1636	715	302	1908	2145	2028	1446	3347	5803	1376	1422	3406	2679	1033	1428	2329	2655	2098	1887	6996	2663	200	3554	2630	2698
ENSMMUG00000007141	13171	11105	22118	3616	7336	13592	24196	780	5077	13231	25092	3319	4807	10534	8330	2225	1653	13385	13921	8302	6416	19014	41894	8850	8091	21899	15956	5631	6686	14773	15410	11641	10922	43182	16510	1014	13962	18961	17372
ENSMMUG00000039424	1889	860	1933	352	713	1080	2931	170	736	1609	4160	1104	1472	3921	1689	419	222	1409	1467	1278	1086	2389	3241	989	1038	2332	1821	777	1010	2012	1767	1434	1228	5042	1352	123	2367	1915	2024
ENSMMUG00000058824	12943	2280	15419	3217	3336	2701	27538	1341	4717	7323	24727	5388	7123	15280	5913	3640	1222	4571	8071	15125	6794	8687	17685	7607	6198	9932	17709	5590	7018	10570	13608	9527	7378	23176	6140	576	10839	5980	5833
ENSMMUG00000049832	1419	302	1020	299	344	234	1079	57	367	789	2274	500	668	1934	662	315	118	455	764	842	593	799	1487	707	637	719	1109	486	584	1004	1139	1353	805	3360	770	109	2265	1286	1427
ENSMMUG00000021703	4242	3138	7268	1390	2150	3715	5825	181	1229	4003	4793	1842	2351	3251	2685	755	713	3830	4378	2903	1574	5362	13933	1782	3639	6989	5746	953	2346	3796	5956	2959	2834	12897	4821	238	5352	5314	5219
ENSMMUG00000021702	1384	747	1820	368	618	1279	4079	111	778	1217	4069	678	1375	2410	1069	621	167	675	1347	1100	772	1400	3242	697	793	1408	1609	553	769	1212	1689	1099	1022	4023	1354	0	2029	1013	1793
ENSMMUG00000052207	80	184	386	148	117	931	886	0	0	215	280	0	0	0	82	0	0	337	278	102	0	342	1038	100	105	533	251	0	67	305	329	113	177	1226	520	0	87	801	638
ENSMMUG00000006226	4962	9456	15877	7929	4718	51726	60197	386	2750	12589	13128	831	1469	3149	3304	1217	976	10699	9742	4843	3673	15441	38373	4835	5278	20185	10407	2249	3670	12065	11440	5876	10982	59035	24563	766	9909	30019	23802
ENSMMUG00000022429	7525	5236	16038	2578	3964	6984	18357	651	3699	7823	23096	1501	3069	6774	2693	1945	1147	6788	10216	8471	5629	11237	37091	6076	6067	14036	16824	3858	5736	9645	13508	6523	6480	20539	7678	1252	19410	26814	25464
ENSMMUG00000064750	226	447	444	76	252	586	523	0	86	387	336	0	0	77	90	0	0	382	244	105	85	511	1036	139	167	720	332	0	106	310	253	106	198	1022	363	0	487	1429	1230
ENSMMUG00000009226	1479	1424	3373	299	963	2154	2876	64	692	1920	1765	152	415	563	779	69	271	2052	2000	1019	930	3287	8214	869	1302	3762	2337	479	884	2129	2211	1014	1472	7521	2780	112	1829	2433	2099
ENSMMUG00000012615	8645	8046	18996	1551	4014	10197	15292	310	3664	11231	8486	886	1609	2681	3698	353	913	7637	7177	3734	3192	11440	31741	3278	4711	16083	8948	1574	2854	7730	8044	4178	6975	33874	12454	283	4783	7995	7492
ENSMMUG00000063981	1181	454	1590	382	398	590	3817	151	475	771	2713	833	1007	2098	1091	368	105	599	1227	1020	639	1011	2659	628	527	1024	1702	523	635	1056	1693	914	588	3400	1139	0	1545	713	1134
ENSMMUG00000061796	303	168	531	0	62	143	562	0	136	281	573	69	113	280	204	0	0	147	250	172	111	231	539	118	114	278	380	0	131	217	288	100	126	477	215	0	207	149	222
ENSMMUG00000062889	84	191	158	0	0	147	157	0	0	108	197	0	0	0	86	0	0	132	90	0	0	74	178	0	57	172	132	0	0	93	63	0	0	321	122	0	65	149	105
ENSMMUG00000012068	6724	2123	11046	358	1704	1447	2737	180	1110	2973	4931	1798	3278	8055	6059	283	422	2952	4715	2944	2258	4387	9779	2058	2665	4612	4976	1347	2087	3754	4517	3039	3129	11857	2970	0	1638	1029	1541
ENSMMUG00000013119	1611	2292	2066	184	423	1262	1397	0	678	1725	1673	199	450	819	1086	86	85	899	835	374	392	1293	2776	550	689	1771	1263	128	305	758	768	337	640	2976	1304	0	630	706	1179
ENSMMUG00000016204	3275	1497	5030	1011	1266	1661	9642	292	1473	2588	8026	1600	2257	4578	2785	964	328	1986	3676	2845	1703	2997	9193	1772	1549	3250	4865	1505	1723	3384	4597	3110	2054	9780	3738	192	3735	2910	3733
ENSMMUG00000053396	1167	1354	2346	340	746	1983	2953	0	552	1672	1428	195	367	750	840	117	179	1356	1301	623	550	2205	5344	606	730	2220	1472	264	474	1399	1237	649	1001	4731	1724	0	1426	2437	2043
ENSMMUG00000005244	427	536	971	69	276	535	967	0	234	588	976	103	178	347	341	87	0	573	658	380	259	874	2056	266	350	938	816	146	283	654	733	312	332	2010	788	0	485	558	502
ENSMMUG00000005243	628	145	706	62	247	100	1001	0	269	367	1138	232	361	719	251	174	0	262	674	652	442	470	1306	279	328	650	1050	271	414	514	872	500	512	1814	481	0	773	336	390
ENSMMUG00000005801	3378	1731	4235	597	1400	1967	5062	284	1843	2518	5168	1159	1524	2907	2117	459	383	2269	3547	2482	1679	3115	8614	1768	2064	3940	4411	1106	1807	2607	3782	2187	2048	8188	3435	155	3226	2241	2885
ENSMMUG00000005803	1363	699	2432	365	1028	950	2336	147	633	1220	2748	320	550	1031	831	270	158	1081	1633	1248	782	1823	4968	1043	845	1959	2235	695	942	1346	2152	1274	1048	4463	2002	110	1591	1347	1488
